# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 18 23:30:21 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and tran_flag not null
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_trandep not null
# CONSTRAINT:  and st_mass not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN tran_flag:      Detected by Transits
#
pl_name,hostname,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,default_flag,sy_snum,sy_pnum,tran_flag
BD+20 594 b,BD+20 594,2.578,0.112,-0.112,0,1.67,0.40,-0.40,0,0.049000,0.002500,-0.002500,0,1,1,1,1
CoRoT-1 b,CoRoT-1,16.700,0.900,-0.900,0,0.95,0.15,-0.15,0,1.926540,0.058737,-0.057855,0,1,1,1,1
CoRoT-10 b,CoRoT-10,10.870,0.780,-0.780,0,0.89,0.05,-0.05,0,1.610360,0.097888,-0.095000,0,1,1,1,1
CoRoT-11 b,CoRoT-11,16.030,0.340,-0.340,0,1.27,0.05,-0.05,0,1.144900,0.010725,-0.010675,0,1,1,1,1
CoRoT-12 b,CoRoT-12,16.140,1.460,-1.460,0,1.08,0.08,-0.07,0,1.744000,0.039000,-0.040000,0,1,1,1,1
CoRoT-16 b,CoRoT-16,13.110,1.790,-1.570,0,1.10,0.08,-0.08,0,1.020000,0.095000,-0.092000,0,1,1,1,1
CoRoT-17 b,CoRoT-17,11.430,0.780,-0.780,0,1.04,0.10,-0.10,0,0.440000,,,0,1,1,1,1
CoRoT-35 b,CoRoT-35,18.831,1.233,-1.233,0,1.01,0.07,-0.06,0,1.257000,0.034000,-0.034000,0,1,1,1,1
CoRoT-36 b,CoRoT-36,15.805,1.569,-1.569,0,1.32,0.09,-0.09,0,1.010000,0.011000,-0.011000,0,1,1,1,1
CoRoT-5 b,CoRoT-5,15.558,0.516,-0.527,0,1.00,0.02,-0.02,0,1.461000,0.030000,-0.032000,0,1,1,1,1
CoRoT-7 b,CoRoT-7,1.681,0.112,-0.112,0,0.82,0.17,-0.17,0,0.035000,0.001100,-0.001100,0,1,1,3,1
